id,teams,status,ago,event,tournament,img
542211,"[{'name': 'G2 Esports', 'score': '0', 'country': 'us', 'won': False}, {'name': 'Team Heretics', 'score': '2', 'country': 'eu', 'won': True}]",Completed,15h 23m,Group Stage–Opening (D),Valorant  Champions 2025,https://owcdn.net/img/63067806d167d.png
542212,"[{'name': 'Dragon Ranger Gaming', 'score': '0', 'country': 'cn', 'won': False}, {'name': 'T1', 'score': '2', 'country': 'kr', 'won': True}]",Completed,18h 43m,Group Stage–Opening (D),Valorant  Champions 2025,https://owcdn.net/img/63067806d167d.png
542205,"[{'name': 'Team Liquid', 'score': '0', 'country': 'eu', 'won': False}, {'name': 'DRX', 'score': '2', 'country': 'kr', 'won': True}]",Completed,1d 15h,Group Stage–Opening (C),Valorant  Champions 2025,https://owcdn.net/img/63067806d167d.png
542207,"[{'name': 'NRG', 'score': '2', 'country': 'us', 'won': True}, {'name': 'EDward Gaming', 'score': '0', 'country': 'cn', 'won': False}]",Completed,1d 18h,Group Stage–Opening (C),Valorant  Champions 2025,https://owcdn.net/img/63067806d167d.png
542196,"[{'name': 'GIANTX', 'score': '2', 'country': 'eu', 'won': True}, {'name': 'Sentinels', 'score': '1', 'country': 'us', 'won': False}]",Completed,2d 16h,Group Stage–Opening (A),Valorant  Champions 2025,https://owcdn.net/img/63067806d167d.png
542195,"[{'name': 'Paper Rex', 'score': '2', 'country': 'sg', 'won': True}, {'name': 'Xi Lai Gaming', 'score': '0', 'country': 'cn', 'won': False}]",Completed,2d 18h,Group Stage–Opening (A),Valorant  Champions 2025,https://owcdn.net/img/63067806d167d.png
534750,"[{'name': 'Stellae Gaming GC', 'score': '2', 'country': 'br', 'won': True}, {'name': 'Não estamos aqui', 'score': '0', 'country': 'br', 'won': False}]",Completed,4d 9h,Main Event–Lower Round 1,Game Changers 2025: Brazil Finals,https://owcdn.net/img/604be13d01964.png
524954,"[{'name': 'Akave Esports GC', 'score': '3', 'country': 'un', 'won': True}, {'name': 'MYVRA GC', 'score': '0', 'country': 'un', 'won': False}]",Completed,4d 9h,North–Grand Final,Game Changers 2025: LATAM Main Event,https://owcdn.net/img/604be13d01964.png
534749,"[{'name': 'Paintress', 'score': '0', 'country': 'br', 'won': False}, {'name': 'Corinthians Esports Inclusivo', 'score': '2', 'country': 'br', 'won': True}]",Completed,4d 11h,Main Event–Lower Round 1,Game Changers 2025: Brazil Finals,https://owcdn.net/img/604be13d01964.png
534744,"[{'name': '2Game Esports GC', 'score': '2', 'country': 'br', 'won': True}, {'name': 'Não estamos aqui', 'score': '0', 'country': 'br', 'won': False}]",Completed,5d 9h,Main Event–Upper Quarterfinals,Game Changers 2025: Brazil Finals,https://owcdn.net/img/604be13d01964.png
534741,"[{'name': 'Team Liquid Brazil', 'score': '2', 'country': 'br', 'won': True}, {'name': 'Stellae Gaming GC', 'score': '0', 'country': 'br', 'won': False}]",Completed,5d 11h,Main Event–Upper Quarterfinals,Game Changers 2025: Brazil Finals,https://owcdn.net/img/604be13d01964.png
524943,"[{'name': 'LEVIATÁN GC', 'score': '2', 'country': 'cl', 'won': False}, {'name': 'KRÜ BLAZE', 'score': '3', 'country': 'cl', 'won': True}]",Completed,5d 12h,South–Grand Final,Game Changers 2025: LATAM Main Event,https://owcdn.net/img/604be13d01964.png
535406,"[{'name': 'DNSTY', 'score': '1', 'country': 'it', 'won': False}, {'name': 'ULF Esports', 'score': '3', 'country': 'tr', 'won': True}]",Completed,5d 16h,Playoffs–Grand Final,Challengers 2025: EMEA Stage 3,https://owcdn.net/img/6009f963577f4.png
538772,"[{'name': 'EMPIRE :3', 'score': '2', 'country': 'us', 'won': True}, {'name': 'Tenax GC', 'score': '0', 'country': 'us', 'won': False}]",Completed,6d 7h,Swiss Stage–Round 6 (3-2 vs. 2-3),Game Changers 2025: North America Stage 2,https://owcdn.net/img/604be13d01964.png
538771,"[{'name': 'Blue Otter GC', 'score': '2', 'country': 'us', 'won': True}, {'name': 'YDZ Black', 'score': '1', 'country': 'us', 'won': False}]",Completed,6d 7h,Swiss Stage–Round 6 (2-3),Game Changers 2025: North America Stage 2,https://owcdn.net/img/604be13d01964.png
538773,"[{'name': 'Mak N Cheese', 'score': '0', 'country': 'us', 'won': False}, {'name': '^-^', 'score': '2', 'country': 'us', 'won': True}]",Completed,6d 7h,Swiss Stage–Round 6 (2-3),Game Changers 2025: North America Stage 2,https://owcdn.net/img/604be13d01964.png
534742,"[{'name': 'Corinthians Esports Inclusivo', 'score': '0', 'country': 'br', 'won': False}, {'name': 'TBS Esports GC', 'score': '2', 'country': 'br', 'won': True}]",Completed,6d 8h,Main Event–Upper Quarterfinals,Game Changers 2025: Brazil Finals,https://owcdn.net/img/604be13d01964.png
538769,"[{'name': '100 Thieves GC', 'score': '2', 'country': 'us', 'won': True}, {'name': 'FlyQuest RED', 'score': '1', 'country': 'us', 'won': False}]",Completed,6d 10h,Swiss Stage–Round 6 (3-2),Game Changers 2025: North America Stage 2,https://owcdn.net/img/604be13d01964.png
538770,"[{'name': 'Ghost Gaming', 'score': '2', 'country': 'us', 'won': True}, {'name': 'Hakikimori GC', 'score': '1', 'country': 'us', 'won': False}]",Completed,6d 10h,Swiss Stage–Round 6 (3-2),Game Changers 2025: North America Stage 2,https://owcdn.net/img/604be13d01964.png
534743,"[{'name': 'MIBR GC', 'score': '2', 'country': 'br', 'won': True}, {'name': 'Paintress', 'score': '0', 'country': 'br', 'won': False}]",Completed,6d 11h,Main Event–Upper Quarterfinals,Game Changers 2025: Brazil Finals,https://owcdn.net/img/604be13d01964.png
535405,"[{'name': 'ULF Esports', 'score': '3', 'country': 'tr', 'won': True}, {'name': 'Mandatory', 'score': '0', 'country': 'fr', 'won': False}]",Completed,6d 16h,Playoffs–Lower Final,Challengers 2025: EMEA Stage 3,https://owcdn.net/img/6009f963577f4.png
543782,"[{'name': 'RED Canids', 'score': '0', 'country': 'br', 'won': False}, {'name': 'Team Solid', 'score': '3', 'country': 'br', 'won': True}]",Completed,1w 0d,Main Event–Grand Final,Challengers 2025: Brazil Gamers Club Last Chance Qualifier,https://owcdn.net/img/66203e302897c.png
544548,"[{'name': 'Alliance Guardians', 'score': '3', 'country': 'us', 'won': True}, {'name': 'Burger Boyz', 'score': '1', 'country': 'us', 'won': False}]",Completed,1w 0d,Promotion/Relegation–Promotion Match,Challengers 2025: North America ACE Stage 3,https://owcdn.net/img/63cbac52cf906.png
544549,"[{'name': 'Team Slatt', 'score': '1', 'country': 'us', 'won': False}, {'name': 'SaD Esports', 'score': '3', 'country': 'us', 'won': True}]",Completed,1w 0d,Promotion/Relegation–Promotion Match,Challengers 2025: North America ACE Stage 3,https://owcdn.net/img/63cbac52cf906.png
532277,"[{'name': 'ShindeN', 'score': '3', 'country': 'ar', 'won': True}, {'name': 'Six Karma', 'score': '1', 'country': 'mx', 'won': False}]",Completed,1w 0d,Main Event–Decider,Challengers 2025: Latin America Finals,https://owcdn.net/img/63cbac52cf906.png
535404,"[{'name': 'DNSTY', 'score': '2', 'country': 'it', 'won': True}, {'name': 'ULF Esports', 'score': '1', 'country': 'tr', 'won': False}]",Completed,1w 0d,Playoffs–Upper Final,Challengers 2025: EMEA Stage 3,https://owcdn.net/img/6009f963577f4.png
535403,"[{'name': 'Mandatory', 'score': '2', 'country': 'fr', 'won': True}, {'name': 'Twisted Minds', 'score': '1', 'country': 'sa', 'won': False}]",Completed,1w 0d,Playoffs–Lower Round 1,Challengers 2025: EMEA Stage 3,https://owcdn.net/img/6009f963577f4.png
521247,"[{'name': 'Motiv Esports', 'score': '3', 'country': 'sg', 'won': True}, {'name': 'FULL SENSE', 'score': '1', 'country': 'th', 'won': False}]",Completed,1w 0d,Playoffs–Grand Final,Challengers 2025: Southeast Asia Split 3,https://owcdn.net/img/6009f963577f4.png
538575,"[{'name': 'Titan Esports Club', 'score': '0', 'country': 'cn', 'won': False}, {'name': 'JDG Esports', 'score': '3', 'country': 'cn', 'won': True}]",Completed,1w 0d,Main Event–Grand Final,China Evolution Series: Act 3,https://owcdn.net/img/67a5eb9b2ccea.png
543173,"[{'name': 'Shopify Rebellion Gold', 'score': '1', 'country': 'ca', 'won': False}, {'name': 'Prosperity Esports', 'score': '2', 'country': 'us', 'won': True}]",Completed,1w 1d,Promotion/Relegation–Round 3,Challengers 2025: North America ACE Stage 3,https://owcdn.net/img/63cbac52cf906.png
532275,"[{'name': '9z Team', 'score': '3', 'country': 'cl', 'won': True}, {'name': 'ShindeN', 'score': '1', 'country': 'ar', 'won': False}]",Completed,1w 1d,Main Event–Winner's,Challengers 2025: Latin America Finals,https://owcdn.net/img/63cbac52cf906.png
531690,"[{'name': 'Team Solid', 'score': '3', 'country': 'br', 'won': True}, {'name': 'Los Grandes', 'score': '2', 'country': 'br', 'won': False}]",Completed,1w 1d,Main Event–Lower Final,Challengers 2025: Brazil Gamers Club Last Chance Qualifier,https://owcdn.net/img/66203e302897c.png
543172,"[{'name': 'SaD Esports', 'score': '2', 'country': 'us', 'won': True}, {'name': 'Burger Boyz', 'score': '1', 'country': 'us', 'won': False}]",Completed,1w 1d,Promotion/Relegation–Round 3,Challengers 2025: North America ACE Stage 3,https://owcdn.net/img/63cbac52cf906.png
532276,"[{'name': 'E-Xolos LAZER', 'score': '1', 'country': 'co', 'won': False}, {'name': 'Six Karma', 'score': '3', 'country': 'mx', 'won': True}]",Completed,1w 1d,Main Event–Elimination,Challengers 2025: Latin America Finals,https://owcdn.net/img/63cbac52cf906.png
535402,"[{'name': 'Twisted Minds', 'score': '1', 'country': 'sa', 'won': False}, {'name': 'ULF Esports', 'score': '2', 'country': 'tr', 'won': True}]",Completed,1w 1d,Playoffs–Upper Semifinals,Challengers 2025: EMEA Stage 3,https://owcdn.net/img/6009f963577f4.png
535401,"[{'name': 'Mandatory', 'score': '1', 'country': 'fr', 'won': False}, {'name': 'DNSTY', 'score': '2', 'country': 'it', 'won': True}]",Completed,1w 1d,Playoffs–Upper Semifinals,Challengers 2025: EMEA Stage 3,https://owcdn.net/img/6009f963577f4.png
521249,"[{'name': 'NAOS', 'score': '1', 'country': 'ph', 'won': False}, {'name': 'FULL SENSE', 'score': '3', 'country': 'th', 'won': True}]",Completed,1w 1d,Playoffs–Lower Final,Challengers 2025: Southeast Asia Split 3,https://owcdn.net/img/6009f963577f4.png
538576,"[{'name': 'FunPlus Phoenix', 'score': '0', 'country': 'cn', 'won': False}, {'name': 'Wolves Esports', 'score': '3', 'country': 'cn', 'won': True}]",Completed,1w 1d,Main Event–Consolation Final,China Evolution Series: Act 3,https://owcdn.net/img/67a5eb9b2ccea.png
528187,"[{'name': 'FEARX', 'score': '1', 'country': 'kr', 'won': False}, {'name': 'SLT Seongnam', 'score': '3', 'country': 'kr', 'won': True}]",Completed,1w 1d,Main Event–Grand Final,Challengers 2025: Korea WDG Road to Ascension,https://owcdn.net/img/6009f963577f4.png
531688,"[{'name': 'Team Solid', 'score': '1', 'country': 'br', 'won': False}, {'name': 'RED Canids', 'score': '2', 'country': 'br', 'won': True}]",Completed,1w 2d,Main Event–Upper Final,Challengers 2025: Brazil Gamers Club Last Chance Qualifier,https://owcdn.net/img/66203e302897c.png
543171,"[{'name': 'SaD Esports', 'score': '2', 'country': 'us', 'won': True}, {'name': 'Prosperity Esports', 'score': '1', 'country': 'us', 'won': False}]",Completed,1w 2d,Promotion/Relegation–Round 2,Challengers 2025: North America ACE Stage 3,https://owcdn.net/img/63cbac52cf906.png
532274,"[{'name': 'ShindeN', 'score': '2', 'country': 'ar', 'won': True}, {'name': 'Six Karma', 'score': '0', 'country': 'mx', 'won': False}]",Completed,1w 2d,Main Event–Opening,Challengers 2025: Latin America Finals,https://owcdn.net/img/63cbac52cf906.png
531689,"[{'name': 'Los Grandes', 'score': '2', 'country': 'br', 'won': True}, {'name': 'Corinthians Esports', 'score': '0', 'country': 'br', 'won': False}]",Completed,1w 2d,Main Event–Lower Round 1,Challengers 2025: Brazil Gamers Club Last Chance Qualifier,https://owcdn.net/img/66203e302897c.png
543170,"[{'name': 'Shopify Rebellion Gold', 'score': '1', 'country': 'ca', 'won': False}, {'name': 'Burger Boyz', 'score': '2', 'country': 'us', 'won': True}]",Completed,1w 2d,Promotion/Relegation–Round 2,Challengers 2025: North America ACE Stage 3,https://owcdn.net/img/63cbac52cf906.png
532273,"[{'name': 'E-Xolos LAZER', 'score': '1', 'country': 'co', 'won': False}, {'name': '9z Team', 'score': '2', 'country': 'cl', 'won': True}]",Completed,1w 2d,Main Event–Opening,Challengers 2025: Latin America Finals,https://owcdn.net/img/63cbac52cf906.png
538442,"[{'name': 'ULF Esports', 'score': '2', 'country': 'tr', 'won': True}, {'name': 'děti ulice', 'score': '1', 'country': 'eu', 'won': False}]",Completed,1w 2d,Group Stage–Day 5,Challengers 2025: EMEA Stage 3,https://owcdn.net/img/6009f963577f4.png
521246,"[{'name': 'Motiv Esports', 'score': '2', 'country': 'sg', 'won': True}, {'name': 'NAOS', 'score': '0', 'country': 'ph', 'won': False}]",Completed,1w 2d,Playoffs–Upper Final,Challengers 2025: Southeast Asia Split 3,https://owcdn.net/img/6009f963577f4.png
538441,"[{'name': 'BOARS', 'score': '0', 'country': 'ua', 'won': False}, {'name': 'Twisted Minds', 'score': '2', 'country': 'sa', 'won': True}]",Completed,1w 2d,Group Stage–Day 5,Challengers 2025: EMEA Stage 3,https://owcdn.net/img/6009f963577f4.png
538574,"[{'name': 'JDG Esports', 'score': '2', 'country': 'cn', 'won': True}, {'name': 'Wolves Esports', 'score': '1', 'country': 'cn', 'won': False}]",Completed,1w 2d,Main Event–Semifinals,China Evolution Series: Act 3,https://owcdn.net/img/67a5eb9b2ccea.png
521248,"[{'name': 'FULL SENSE', 'score': '2', 'country': 'th', 'won': True}, {'name': 'Team NKT', 'score': '1', 'country': 'th', 'won': False}]",Completed,1w 2d,Playoffs–Lower Round 1,Challengers 2025: Southeast Asia Split 3,https://owcdn.net/img/6009f963577f4.png
